style,files
.candidates-pending,frontend/src/components/GenerateRelatedNodesPanel/GenerateRelatedNodesPanel.tsx;frontend/src/styles/global.css
.card,backend/graph_grammar.py;docs/node_edit_for_users.md;frontend/src/components/ContextPanel/components/NodeDetailsPanel/NodeDetailsPanel.tsx;frontend/src/components/Graph/Graph.tsx;frontend/src/components/GraphStatisticsPanel/GraphStatisticsPanel.tsx;frontend/src/components/SearchPanel/SearchPanel.tsx;frontend/src/components/common/ConfirmDialog.tsx;frontend/src/styles/global.css
.cell-content,frontend/src/components/CandidateAnalysisPanel/CandidateAnalysisPanel.tsx;frontend/src/styles/global.css
.cell-info,frontend/src/components/CandidateAnalysisPanel/CandidateAnalysisPanel.tsx;frontend/src/styles/global.css
.cell-name,frontend/src/components/CandidateAnalysisPanel/CandidateAnalysisPanel.tsx;frontend/src/styles/global.css
.cell-tooltip,frontend/src/components/CandidateAnalysisPanel/CandidateAnalysisPanel.tsx;frontend/src/styles/global.css
.cell-type,frontend/src/styles/global.css
.close-button,frontend/src/components/ContextPanel/components/RelationshipDetailsPanel/RelationshipDetailsPanel.tsx;frontend/src/components/ContextPanel/views/RelationshipView/RelationshipView.tsx;frontend/src/styles/global.css
.cluster-display,frontend/src/components/CandidateAnalysisPanel/CandidateAnalysisPanel.tsx;frontend/src/styles/global.css
.cluster-slider,frontend/src/components/CandidateAnalysisPanel/CandidateAnalysisPanel.tsx;frontend/src/styles/global.css
.confirmation-dialog,frontend/src/components/common/ConfirmDialog.tsx;frontend/src/styles/global.css
.connected-nodes,frontend/src/styles/global.css
.context-description,frontend/src/components/GenerateRelatedNodesPanel/GenerateRelatedNodesPanel.tsx;frontend/src/styles/global.css
.context-info,frontend/src/components/GenerateRelatedNodesPanel/GenerateRelatedNodesPanel.tsx;frontend/src/styles/global.css
.context-label,frontend/src/components/GenerateRelatedNodesPanel/GenerateRelatedNodesPanel.tsx;frontend/src/styles/global.css
.context-menu,frontend/src/components/Graph/Graph.tsx;frontend/src/styles/global.css
.context-menu-item,frontend/src/components/Graph/Graph.tsx;frontend/src/styles/global.css
.context-name,frontend/src/components/GenerateRelatedNodesPanel/GenerateRelatedNodesPanel.tsx;frontend/src/styles/global.css
.context-node-details,frontend/src/components/GenerateRelatedNodesPanel/GenerateRelatedNodesPanel.tsx;frontend/src/styles/global.css
.context-panel,frontend/src/components/ContextPanel/ContextPanel.tsx;frontend/src/styles/global.css
.context-panel-content,frontend/src/styles/global.css
.context-panel-header,frontend/src/styles/global.css
.context-type,frontend/src/components/GenerateRelatedNodesPanel/GenerateRelatedNodesPanel.tsx;frontend/src/styles/global.css
.create-pane,frontend/src/App.tsx;frontend/src/styles/global.css
.create-container,frontend/src/styles/global.css
.create-new-option,frontend/src/components/AddRelationshipPanel/AddRelationshipPanel.tsx;frontend/src/styles/global.css
.creation-instruction,frontend/src/components/AddRelationshipPanel/AddRelationshipPanel.tsx;frontend/src/styles/global.css
.creation-message,frontend/src/components/AddRelationshipPanel/AddRelationshipPanel.tsx;frontend/src/styles/global.css
.database-controls,frontend/src/components/DatabaseControls/DatabaseControls.tsx;frontend/src/styles/global.css
.description,backend/analysis.py;backend/api.py;backend/database.py;backend/grammartypes/holochron_ontology.json;backend/grammartypes/narragrammar.json;backend/grammartypes/ontology_spec.json;backend/holochron_ontology.json;backend/llm.py;backend/llm_models.py;backend/models.py;backend/narragrammar.json;backend/ontology_loader.py;backend/ontology_spec.json;backend/statistical_analyzer.py;backend/test_ontology_loader.py;docs/api.md;docs/node_edit_for_users.md;frontend/src/App.tsx;frontend/src/Graph.tsx;frontend/src/components/AddNodePanel/AddNodePanel.tsx;frontend/src/components/AddRelationshipPanel/AddRelationshipPanel.tsx;frontend/src/components/CandidateAnalysisPanel/CandidateAnalysisPanel.tsx;frontend/src/components/CandidateAnalysisPanel/__tests__/timing.test.ts;frontend/src/components/ContextPanel/ContextPanel.tsx;frontend/src/components/ContextPanel/components/NodeDetailsPanel/NodeDetailsPanel.tsx;frontend/src/components/ContextPanel/components/RelationshipDetailsPanel/RelationshipDetailsPanel.tsx;frontend/src/components/ContextPanel/views/NodeView/NodeView.tsx;frontend/src/components/ContextPanel/views/RelationshipView/RelationshipView.tsx;frontend/src/components/DatabaseControls/DatabaseControls.tsx;frontend/src/components/GenerateRelatedNodesPanel/GenerateRelatedNodesPanel.tsx;frontend/src/components/Graph/Graph.tsx;frontend/src/components/SearchPanel/SearchPanel.tsx;frontend/src/grammar/AddNodeTypeForm.tsx;frontend/src/grammar/AddRelationshipTypeForm.tsx;frontend/src/grammar/RelationshipTypeDetailsPanel.tsx;frontend/src/services/GraphService.ts;frontend/src/services/LLMService.ts;frontend/src/services/SchemaService.ts;frontend/src/services/__tests__/GraphService.test.ts;frontend/src/styles/global.css;frontend/src/types/Direction.ts;frontend/src/types/graph.ts;frontend/src/utils/curve.ts
.detail-label,frontend/src/components/ContextPanel/components/NodeDetailsPanel/NodeDetailsPanel.tsx;frontend/src/components/ContextPanel/components/RelationshipDetailsPanel/RelationshipDetailsPanel.tsx;frontend/src/styles/global.css
.detail-row,frontend/src/components/ContextPanel/components/NodeDetailsPanel/NodeDetailsPanel.tsx;frontend/src/components/ContextPanel/components/RelationshipDetailsPanel/RelationshipDetailsPanel.tsx;frontend/src/styles/global.css
.detail-section,frontend/src/components/ContextPanel/components/NodeDetailsPanel/NodeDetailsPanel.tsx;frontend/src/components/ContextPanel/components/RelationshipDetailsPanel/RelationshipDetailsPanel.tsx;frontend/src/styles/global.css
.detail-value,frontend/src/components/ContextPanel/components/NodeDetailsPanel/NodeDetailsPanel.tsx;frontend/src/components/ContextPanel/components/RelationshipDetailsPanel/RelationshipDetailsPanel.tsx;frontend/src/styles/global.css
.edit-pane,frontend/src/App.tsx;frontend/src/styles/global.css
.details-container,frontend/src/styles/global.css
.details-panel-area,frontend/src/grammar/GrammarPage.tsx;frontend/src/styles/global.css
.dialog-actions,frontend/src/components/common/ConfirmDialog.tsx;frontend/src/styles/global.css
.direction-options,frontend/src/components/GenerateRelatedNodesPanel/GenerateRelatedNodesPanel.tsx;frontend/src/styles/global.css
.direction-selector,frontend/src/components/AddRelationshipPanel/AddRelationshipPanel.tsx;frontend/src/styles/global.css
.distribution-axis,frontend/src/components/CandidateAnalysisPanel/CandidateAnalysisPanel.tsx;frontend/src/styles/global.css
.distribution-label,frontend/src/styles/global.css
