style,files
.relationship-type,backend/api.py;docs/api.md;frontend/src/App.tsx;frontend/src/components/AddRelationshipPanel/AddRelationshipPanel.tsx;frontend/src/components/GenerateRelatedNodesPanel/GenerateRelatedNodesPanel.tsx;frontend/src/grammar/RelationshipTypeDetailsPanel.tsx;frontend/src/services/SchemaService.ts;frontend/src/styles/global.css
.relationship-type-details,frontend/src/grammar/RelationshipTypeDetailsPanel.tsx;frontend/src/styles/global.css
.relationship-view,frontend/src/components/ContextPanel/views/RelationshipView/RelationshipView.tsx;frontend/src/styles/global.css
.relationship-view-content,frontend/src/components/ContextPanel/views/RelationshipView/RelationshipView.tsx;frontend/src/styles/global.css
.relationship-view-header,frontend/src/components/ContextPanel/views/RelationshipView/RelationshipView.tsx;frontend/src/styles/global.css
.rels-panel,frontend/src/grammar/GrammarPage.tsx;frontend/src/styles/global.css
.required-field,frontend/src/components/AddNodePanel/AddNodePanel.tsx;frontend/src/components/AddRelationshipPanel/AddRelationshipPanel.tsx;frontend/src/components/GenerateRelatedNodesPanel/GenerateRelatedNodesPanel.tsx;frontend/src/styles/global.css
.right-column-wrapper,frontend/src/grammar/GrammarPage.tsx;frontend/src/styles/global.css
.scale-marker,frontend/src/components/CandidateAnalysisPanel/CandidateAnalysisPanel.tsx;frontend/src/styles/global.css
.scrollable,frontend/src/App.tsx;frontend/src/components/common/AccordionSection.tsx;frontend/src/styles/global.css
.search-controls,frontend/src/components/SearchPanel/SearchPanel.tsx;frontend/src/styles/global.css
.search-item,frontend/src/components/SearchPanel/SearchPanel.tsx;frontend/src/styles/global.css
.search-item-name,frontend/src/components/SearchPanel/SearchPanel.tsx;frontend/src/styles/global.css
.search-item-type,frontend/src/components/SearchPanel/SearchPanel.tsx;frontend/src/styles/global.css
.search-panel,frontend/src/components/SearchPanel/SearchPanel.tsx;frontend/src/styles/global.css
.search-results,frontend/src/components/SearchPanel/SearchPanel.tsx;frontend/src/styles/global.css
.selected-node-description,frontend/src/components/AddRelationshipPanel/AddRelationshipPanel.tsx;frontend/src/styles/global.css
.selected-node-info,frontend/src/components/AddRelationshipPanel/AddRelationshipPanel.tsx;frontend/src/styles/global.css
.selected-node-label,frontend/src/components/AddRelationshipPanel/AddRelationshipPanel.tsx;frontend/src/styles/global.css
.selected-node-name,frontend/src/components/AddRelationshipPanel/AddRelationshipPanel.tsx;frontend/src/styles/global.css
.stat-item,frontend/src/App.tsx;frontend/src/components/GraphStatisticsPanel/GraphStatisticsPanel.tsx;frontend/src/grammar/GrammarStatisticsPanel.tsx;frontend/src/styles/global.css
.stat-label,frontend/src/App.tsx;frontend/src/components/GraphStatisticsPanel/GraphStatisticsPanel.tsx;frontend/src/grammar/GrammarStatisticsPanel.tsx;frontend/src/styles/global.css
.stat-row,frontend/src/components/GraphStatisticsPanel/GraphStatisticsPanel.tsx;frontend/src/grammar/GrammarStatisticsPanel.tsx;frontend/src/styles/global.css
.stat-value,frontend/src/App.tsx;frontend/src/components/GraphStatisticsPanel/GraphStatisticsPanel.tsx;frontend/src/grammar/GrammarStatisticsPanel.tsx;frontend/src/styles/global.css
.statistics-item,frontend/src/components/CandidateAnalysisPanel/CandidateAnalysisPanel.tsx;frontend/src/styles/global.css
.statistics-label,frontend/src/components/CandidateAnalysisPanel/CandidateAnalysisPanel.tsx;frontend/src/styles/global.css
.statistics-list,frontend/src/components/CandidateAnalysisPanel/CandidateAnalysisPanel.tsx;frontend/src/styles/global.css
.statistics-section,frontend/src/styles/global.css
.statistics-value,frontend/src/components/CandidateAnalysisPanel/CandidateAnalysisPanel.tsx;frontend/src/styles/global.css
.stats,backend/statistical_analyzer.py;frontend/src/App.tsx;frontend/src/components/CandidateAnalysisPanel/CandidateAnalysisPanel.tsx;frontend/src/components/GraphStatisticsPanel/GraphStatisticsPanel.tsx;frontend/src/grammar/GrammarStatisticsPanel.tsx;frontend/src/styles/global.css
.stats-container,frontend/src/styles/global.css
.stats-content,frontend/src/App.tsx;frontend/src/components/CandidateAnalysisPanel/CandidateAnalysisPanel.tsx;frontend/src/styles/global.css
.stats-grid,frontend/src/components/GraphStatisticsPanel/GraphStatisticsPanel.tsx;frontend/src/grammar/GrammarStatisticsPanel.tsx;frontend/src/styles/global.css
.theme-toggle,frontend/src/components/Header/Header.tsx;frontend/src/styles/global.css
.type-badge,frontend/src/components/ContextPanel/components/NodeDetailsPanel/NodeDetailsPanel.tsx;frontend/src/components/ContextPanel/components/RelationshipDetailsPanel/RelationshipDetailsPanel.tsx;frontend/src/styles/global.css
.type-description,frontend/src/components/AddNodePanel/AddNodePanel.tsx;frontend/src/styles/global.css
.type-select,frontend/src/styles/global.css
.unsaved,docs/node_edit_for_users.md;frontend/src/components/ContextPanel/components/NodeDetailsPanel/NodeDetailsPanel.tsx;frontend/src/styles/global.css
.visualization-container,frontend/src/components/CandidateAnalysisPanel/CandidateAnalysisPanel.tsx;frontend/src/styles/global.css
.whisker,frontend/src/components/CandidateAnalysisPanel/CandidateAnalysisPanel.tsx;frontend/src/styles/global.css
.zoom-button,frontend/src/styles/global.css
.zoom-controls,frontend/src/styles/global.css
.zoom-group,frontend/src/Graph.tsx;frontend/src/components/Graph/Graph.tsx;frontend/src/styles/global.css
--accent-color,
--accent-color-rgb,
--accent-color-translucent,
--bg-elevated,
--bg-graph,
--bg-input,
--bg-primary,
--bg-secondary,
--bg-tertiary,
--border-color,
--border-radius,
--border-radius-lg,
--border-radius-md,
--btn-danger-active,
--btn-danger-bg,
--btn-danger-hover,
--btn-danger-text,
--btn-primary-active,
--btn-primary-bg,
--btn-primary-hover,
--btn-primary-text,
--btn-secondary-active,
--btn-secondary-bg,
--btn-secondary-hover,
--btn-secondary-text,
--candidate-color,
--details-width,
--error-bg,
--error-color,
--font-family,
--font-mono,
--font-size-xs,
--grid-color,
--header-height,
--hover-bg,
--link-color,
--link-hover,
--min-graph-height,
--node-color,
--node-concept,
--node-dimension,
--node-entity,
--node-hover-stroke,
--node-particular,
--node-relationship,
--node-state,
--node-stroke,
--node-text,
--node-universal,
--shadow-color,
--shadow-md,
--shadow-sm,
--shadow-xs,
--spacing-lg,
--spacing-md,
--spacing-sm,
--spacing-xl,
--spacing-xs,
--success,
--text-muted,
--text-primary,
--text-secondary,
--transition-fast,
--transition-normal,
--transition-slow,
--warning,
--z-header,
--z-index-fixed,
--z-modal,
--z-overlay,
--z-tooltip,
.create-pane.collapsed,frontend/src/App.tsx;frontend/src/styles/global.css
.edit-pane.collapsed,frontend/src/App.tsx;frontend/src/styles/global.css
